Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week?,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?,,,,,
2024/03/07 5:48:53 pm EET,Female,85,3rd Year,Science,84,Non-private accommodation ie. Res,R 5001 - R 6000,"Yes (NSFAS, etc...)",2,2,05-Aug,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:49:47 pm EET,Female,79,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,1,2,No,Yes,Very close,,,,,2
2024/03/07 5:50:11 pm EET,Male,,3rd Year,Medicine,61,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",2,Only weekends,03-May,0,1,No,Yes,Very close,,,,,2
2024/03/07 5:50:14 pm EET,Female,78,2nd Year,Law,66,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,1,05-Aug,3,1,No,Yes,Very close,,,,,2
2024/03/07 5:50:23 pm EET,Male,65,1st Year,Business,65,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,03-May,1,0,No,Yes,Very close,,,,,2
2024/03/07 5:51:04 pm EET,Female,82,2nd Year,Engineering,53,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,05-Aug,2,4+,No,Yes,Very close,,,,,2
2024/03/07 5:51:05 pm EET,Female,77,1st Year,Biology,62,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,03-May,0,0,No,Yes,Very close,,,,,2
2024/03/07 5:54:33 pm EET,Female,85,2nd Year,Science,65,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,1,05-Aug,3,0,No,Yes,Very close,,,,,2
2024/03/07 5:54:41 pm EET,Female,81,3rd Year,Arts,62,Private accommodation/ stay with family/friends,R 8000+,No,2,Only weekends,05-Aug,1,1,Yes,Yes,Close,,,,,2
2024/03/07 5:54:53 pm EET,Male,77,2nd Year,Business,61,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,2,8+,1,1,No,Yes,Very close,,,,,2
2024/03/07 5:55:01 pm EET,Male,82,2nd Year,Business,73,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,8+,1,0,No,Yes,Fair,,,,,2
2024/03/07 5:55:23 pm EET,Female,73,3rd Year,Business,60,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,3,05-Aug,1,0,No,Yes,Close,,,,,2
2024/03/07 5:55:49 pm EET,Male,68,3rd Year,Arts,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,8+,0,0,No,Yes,Very close,,,,,2
2024/03/07 5:57:46 pm EET,Male,70,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,1,03-May,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:58:30 pm EET,Male,75,3rd Year,Biology,64,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,03-May,1,0,No,Yes,Very close,,,,,2
2024/03/07 5:59:04 pm EET,Male,78,2nd Year,Business,62,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,1,1,No,Yes,Very close,,,,,2
2024/03/07 5:59:28 pm EET,Female,73,1st Year,Arts,69,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,2,03-May,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:59:33 pm EET,Male,74,2nd Year,Business,57,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,Only weekends,05-Aug,2,1,No,No,Fair,,,,,2
2024/03/07 6:00:19 pm EET,Male,77,1st Year,Business,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,0,Yes,No,Very close,,,,,2
2024/03/07 6:00:33 pm EET,Male,66,1st Year,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,3,8+,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 6:00:45 pm EET,Male,80,2nd Year,Engineering,60,Private accommodation/ stay with family/friends,R 8000+,No,2,1,0,4+,0,Yes,Yes,Very close,,,,,2
2024/03/07 6:01:01 pm EET,Female,78,1st Year,Business,66,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,Only weekends,05-Aug,2,3,Yes,No,Very close,,,,,2
2024/03/07 6:02:13 pm EET,Male,75,1st Year,Science,50,Non-private accommodation ie. Res,R 4001- R 5000,No,2,Only weekends,03-May,0,3,No,No,,,,,,2
2024/03/07 6:02:13 pm EET,Male,72,1st Year,Business,70,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,1,8+,0,0,No,Yes,Fair,,,,,2
2024/03/07 6:03:28 pm EET,Male,80,3rd Year,Science,65,Private accommodation/ stay with family/friends,R 8000+,No,2,1,03-May,0,1,Yes,Yes,Close,,,,,2
2024/03/07 6:03:46 pm EET,Male,75,2nd Year,Business,72,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,8+,4+,0,No,Yes,Close,,,,,2
2024/03/07 6:04:29 pm EET,Female,73,2nd Year,Business,62,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,2,03-May,1,2,Yes,Yes,Very close,,,,,2
2024/03/07 6:04:36 pm EET,Female,86,3rd Year,Science,76,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,05-Aug,1,0,No,Yes,Close,,,,,2
2024/03/07 6:04:52 pm EET,Male,70,1st Year,Biology,75,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,05-Aug,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 6:05:33 pm EET,Female,83,1st Year,Business,0,,R 6001 - R 7000,No,2,Only weekends,05-Aug,0,0,Yes,Yes,Fair,,,,,2
2024/03/07 6:05:33 pm EET,Female,84,1st Year,Business,0,,,,2,3,05-Aug,0,0,No,Yes,Close,,,,,2
2024/03/07 6:05:57 pm EET,Male,85,1st Year,Science,88,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,Only weekends,0,0,0,Yes,Yes,Distant,,,,,2
2024/03/07 6:06:00 pm EET,Female,72,2nd Year,Arts,61,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 6:06:21 pm EET,Male,73,1st Year,Business,52,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,01-Mar,1,4+,No,Yes,Very close,,,,,2
2024/03/07 6:07:35 pm EET,Female,76,Postgraduate,Business,79,Private accommodation/ stay with family/friends,R 8000+,No,2,2,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 6:08:05 pm EET,Male,76,1st Year,Engineering,56,Non-private accommodation ie. Res,R 4001- R 5000,No,2,Only weekends,01-Mar,0,0,Yes,Yes,Close,,,,,2
2024/03/07 6:08:50 pm EET,Male,82,2nd Year,Arts,70,Non-private accommodation ie. Res,R 4001- R 5000,No,2,2,8+,4+,0,Yes,Yes,Close,,,,,2
2024/03/07 6:10:05 pm EET,Male,82,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,05-Aug,0,0,No,Yes,Very close,,,,,2
2024/03/07 6:11:08 pm EET,Male,68,2nd Year,Biology,57,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,05-Aug,1,3,Yes,No,Close,,,,,2
2024/03/07 6:11:14 pm EET,Female,84,1st Year,Science,64,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,03-May,1,0,No,Yes,Very close,,,,,2
2024/03/07 6:11:21 pm EET,Male,79,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 8000+,No,2,1,05-Aug,2,2,No,No,Close,,,,,2
2024/03/07 6:11:41 pm EET,Male,89,2nd Year,Business,74,Non-private accommodation ie. Res,R 4001- R 5000,No,2,1,03-May,0,0,No,Yes,Very close,,,,,2
2024/03/07 6:12:43 pm EET,Female,82,2nd Year,Education,73,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,05-Aug,0,0,Yes,Yes,Close,,,,,2
2024/03/07 6:12:47 pm EET,Female,83,2nd Year,Business,51,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,4+,Yes,Yes,Fair,,,,,2
2024/03/07 6:15:14 pm EET,Male,76,2nd Year,Business,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,3,8+,2,0,No,Yes,Very close,,,,,2
2024/03/07 6:15:31 pm EET,Male,83,2nd Year,Engineering,60,Non-private accommodation ie. Res,R 4001- R 5000,No,2,3,05-Aug,4+,1,No,Yes,Very close,,,,,2
2024/03/07 6:15:48 pm EET,Female,76,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,3,05-Aug,2,2,No,Yes,Very close,,,,,2
2024/03/07 6:16:12 pm EET,Male,82,1st Year,Business,65,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",2,0,0,0,0,No,No,Close,,,,,2
2024/03/07 6:16:51 pm EET,Female,76,1st Year,Arts,54,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,4+,05-Aug,4+,3,Yes,Yes,Very close,,,,,2
2024/03/07 6:19:15 pm EET,Male,78,1st Year,Science,65,Non-private accommodation ie. Res,R 5001 - R 6000,No,2,Only weekends,0,0,2,No,Yes,Very close,,,,,2
2024/03/07 6:23:51 pm EET,Male,79,2nd Year,Business,64,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,03-May,3,3,Yes,Yes,Very close,,,,,2
2024/03/07 6:23:58 pm EET,Female,72,1st Year,Business,61,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,0,0,1,No,Yes,Very close,,,,,2
2024/03/07 6:25:59 pm EET,Male,65,1st Year,Science,0,Private accommodation/ stay with family/friends,R 6001 - R 7000,"Yes (NSFAS, etc...)",2,2,8+,1,0,No,Yes,Very close,,,,,2
2024/03/07 6:26:53 pm EET,Male,70,Postgraduate,Biology,68,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,3,03-May,2,0,No,Yes,Very close,,,,,2
2024/03/07 6:27:21 pm EET,Male,72,2nd Year,Business,53,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,8+,0,4+,Yes,Yes,Close,,,,,2
