pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,4.8,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,-0.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,0.0,poor,Non private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Science,Africa,A,8.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,C,10.1,poor,Private,good,Close
F,3.0,AgriSciences,Africa,B,16.8,poor,Private,good,Close
F,1.0,Education,Africa,B,16.6,poor,Private,good,Very close
F,2.0,Science,Africa,B,13.9,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
F,3.0,Economic & Management Sciences,Africa,B,0.0,poor,Private,good,Very close
F,1.0,Arts & Social Sciences,Africa,B,-3.5,poor,Private,good,Close
F,2.0,Arts & Social Sciences,Africa,C,1.3,poor,Private,good,Fair
F,2.0,Science,Africa,A,5.5,poor,Private,good,Fair
M,1.0,AgriSciences,Africa,B,8.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Non private,good,Fair
M,3.0,Science,Africa,B,8.0,poor,Private,good,Fair
M,1.0,Science,Africa,B,8.0,poor,Private,good,Very close
F,3.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,C,8.0,poor,Private,good,Very close
F,1.0,Science,Africa,C,8.0,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Science,Africa,B,7.9,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,7.8,poor,Private,good,Very close
F,1.0,AgriSciences,Africa,B,7.9,poor,Private,good,Very close
M,4.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.2,poor,Private,good,Very close
F,1.0,Science,Africa,A,8.3,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Non private,good,Very close
M,1.0,Economic & Management Sciences,Africa,A,7.2,poor,Non private,good,Close
M,1.0,Economic & Management Sciences,Africa,C,6.1,poor,Private,good,Close
M,1.0,Economic & Management Sciences,Africa,C,4.7,poor,Non private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,3.2,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,C,1.9,poor,Private,good,Close
M,1.0,Economic & Management Sciences,Africa,B,0.7,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,A,0.0,poor,Private,good,Fair
F,1.0,Economic & Management Sciences,Africa,B,-0.2,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,0.0,poor,Private,good,Very close
M,3.0,Economic & Management Sciences,Africa,B,0.5,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,1.2,poor,Non private,good,Close
F,1.0,Economic & Management Sciences,Africa,C,2.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,C,2.9,poor,Non private,good,Very close
F,2.0,Arts & Social Sciences,Africa,C,3.9,poor,Private,good,Close
M,3.0,Science,Africa,A,4.9,poor,Non private,good,Close
F,2.0,Economic & Management Sciences,Africa,B,5.8,poor,Private,good,Fair
M,2.0,Economic & Management Sciences,Africa,A,6.6,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,7.3,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,C,7.8,poor,Private,good,Close
M,3.0,Economic & Management Sciences,Africa,A,8.0,poor,Non private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Engineering,Africa,B,8.1,poor,Non private,good,Fair
F,1.0,Economic & Management Sciences,Africa,C,8.3,poor,Private,good,Close
M,1.0,Arts & Social Sciences,Africa,B,8.4,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,8.5,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,8.5,poor,Private,good,Close
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
M,3.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Close
F,3.0,Education,Africa,B,9.9,poor,Private,good,Very close
F,3.0,Economic & Management Sciences,Africa,C,11.1,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,C,0.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,C,-3.8,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,-2.6,poor,Private,good,Very close
M,1.0,Science,Africa,A,1.2,poor,Non private,good,Very close
M,3.0,Economic & Management Sciences,Africa,C,5.5,poor,Private,good,Very close
M,3.0,Economic & Management Sciences,Africa,A,8.0,poor,Non private,good,Close
M,4.0,Economic & Management Sciences,Africa,A,8.0,poor,Non private,good,Close
F,1.0,Economic & Management Sciences,Africa,C,8.9,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,9.7,poor,Private,good,Very close
F,2.0,Engineering,Africa,A,8.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,2.8,poor,Private,good,Close
F,4.0,Economic & Management Sciences,Africa,B,-1.7,poor,Private,good,Very close
F,2.0,Science,Africa,B,0.0,poor,Private,good,Very close
M,1.0,Science,Africa,A,8.0,poor,Non private,good,Very close
M,1.0,Science,Africa,A,8.0,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,A,7.5,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
F,1.0,AgriSciences,Africa,B,8.0,poor,Private,good,Close
M,1.0,Economic & Management Sciences,Africa,B,7.9,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,C,7.8,poor,Non private,good,Very close
M,1.0,Science,Africa,B,7.8,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
F,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Fair
M,1.0,Economic & Management Sciences,Africa,B,8.1,poor,Private,good,Fair
M,1.0,Engineering,Africa,A,8.1,poor,Non private,good,Very close
M,1.0,Economic & Management Sciences,Africa,C,8.0,poor,Private,good,Very close
M,1.0,Science,Africa,A,8.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Science,Africa,A,8.0,poor,Private,good,Very close
M,1.0,Science,Africa,B,8.0,poor,Private,good,Close
M,1.0,Economic & Management Sciences,Africa,A,8.0,poor,Non private,good,Very close
F,2.0,Arts & Social Sciences,Africa,C,8.0,poor,Private,good,Fair
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Non private,good,Close
M,3.0,Law,Africa,B,8.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
F,1.0,Education,Africa,B,8.0,poor,Private,good,Very close
F,1.0,AgriSciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Science,Africa,A,8.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Non private,good,Very close
F,1.0,Engineering,Africa,B,8.1,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,8.4,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,B,8.7,poor,Private,good,Close
M,2.0,Science,Africa,B,9.0,poor,Private,good,Close
M,1.0,Economic & Management Sciences,Africa,C,9.2,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,9.3,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,9.2,poor,Private,good,Fair
M,1.0,Arts & Social Sciences,Africa,B,9.1,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.8,poor,Private,good,Very close
M,1.0,Engineering,Africa,A,8.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,7.6,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,C,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,9.9,poor,Private,good,Fair
F,1.0,Economic & Management Sciences,Africa,B,12.3,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,13.7,poor,Private,good,Very close
M,2.0,Medicine and Health Services,Africa,B,12.8,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Non private,good,Close
M,1.0,Economic & Management Sciences,Africa,B,0.0,poor,Private,good,Fair
F,2.0,Arts & Social Sciences,Africa,A,-4.5,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,A,-4.9,poor,Non private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,-2.4,poor,Private,good,Close
M,3.0,AgriSciences,Africa,C,1.4,poor,Private,good,Very close
M,1.0,Science,Africa,B,5.4,poor,Private,good,Very close
F,3.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
M,3.0,Engineering,Africa,A,8.0,poor,Private,good,Close
M,3.0,Law,Africa,B,7.8,poor,Private,good,Close
F,3.0,Engineering,Africa,A,8.0,poor,Private,good,Very close
M,2.0,Science,Africa,B,8.2,poor,Non private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.3,poor,Private,good,Close
F,3.0,Science,Africa,B,8.2,poor,Private,good,Very close
F,1.0,Engineering,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Non private,good,Fair
M,1.0,Arts & Social Sciences,Africa,C,9.9,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,C,12.1,poor,Private,good,Fair
M,2.0,Law,Africa,B,12.2,poor,Non private,good,Fair
M,1.0,AgriSciences,Africa,C,8.0,poor,,good,Very close
F,2.0,Economic & Management Sciences,Africa,C,0.0,poor,Private,good,Very close
M,3.0,Economic & Management Sciences,Africa,B,-2.1,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,1.1,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,5.8,poor,Private,good,Very close
F,2.0,Engineering,Africa,A,8.0,poor,Private,good,Close
M,1.0,Economic & Management Sciences,Africa,C,0.3,poor,Private,good,Very close
F,2.0,Medicine and Health Services,Africa,B,-2.8,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,A,0.0,poor,Private,good,Fair
M,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Close
