pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
F,2,Business,Africa,B,9.9,poor,Private,good,Fair
F,1,Business,Africa,B,12.3,poor,Private,good,Very close
F,2,Business,Africa,A,13.7,poor,Private,good,Very close
M,2,Medicine,Africa,B,12.8,poor,Private,good,Close
M,2,Business,Africa,A,8,poor,Non private,good,Close
M,1,Business,Africa,B,0,poor,Private,good,Fair
F,2,Arts,Africa,A,0,poor,Private,good,Very close
M,2,Business,Africa,A,0,poor,Non private,good,Very close
F,2,Business,Africa,B,0,poor,Private,good,Close
M,3,Biology,Africa,C,1.4,poor,Private,good,Very close
M,1,Science,Africa,B,5.4,poor,Private,good,Very close
F,3,Business,Africa,A,8,poor,Private,good,Very close
M,3,Engineering,Africa,A,8,poor,Private,good,Close
M,3,Law,Africa,B,7.8,poor,Private,good,Close
F,3,Engineering,Africa,A,8,poor,Private,good,Very close
M,2,Science,Africa,B,8.2,poor,Non private,good,Very close
M,2,Business,Africa,B,8.3,poor,Private,good,Close
F,3,Science,Africa,B,8.2,poor,Private,good,Very close
F,1,Engineering,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Non private,good,Fair
M,1,Arts,Africa,C,9.9,poor,Private,good,Close
F,2,Business,Africa,C,12.1,poor,Private,good,Fair
M,2,Law,Africa,B,12.2,poor,Non private,good,Fair
M,1,Biology,Africa,C,8,poor,,good,Very close
F,2,Business,Africa,C,0,poor,Private,good,Very close
M,3,Business,Africa,B,0,poor,Private,good,Very close
M,1,Business,Africa,B,1.1,poor,Private,good,Very close
M,1,Business,Africa,B,5.8,poor,Private,good,Very close
F,2,Engineering,Africa,A,8,poor,Private,good,Close
M,1,Business,Africa,C,0.3,poor,Private,good,Very close
F,2,Medicine,Africa,B,0,poor,Private,good,Very close
M,2,Business,Africa,A,0,poor,Private,good,Fair
M,2,Business,Africa,A,8,poor,Private,good,Close
M,2,Business,Africa,B,8,poor,Private,good,Close
M,2,Business,Africa,A,7.6,poor,Non private,good,Very close
M,3,Business,Africa,B,8,poor,Private,good,Fair
M,1,Business,Africa,B,3.8,poor,Private,good,Very close
M,3,Engineering,Africa,B,1.9,poor,Private,good,Close
F,2,Business,Africa,A,0.4,poor,Non private,good,Fair
M,1,Business,Africa,B,0,poor,Private,good,Very close
M,2,Arts,Africa,C,2.8,poor,Private,good,Fair
M,2,Science,Africa,B,8,poor,Private,good,Close
F,3,Law,Africa,B,8,poor,Private,good,Fair
M,1,Science,Africa,B,7.8,poor,Private,good,Very close
M,1,Science,Africa,B,7.9,poor,Private,good,Very close
F,1,Arts,Africa,A,8,poor,Private,good,Very close
M,1,Arts,Africa,B,8,poor,Private,good,Very close
F,2,Business,Africa,C,8,poor,Private,good,Close
M,2,Business,Africa,A,8.1,poor,Private,good,Very close
F,1,Medicine,Africa,A,8.4,poor,Private,good,Very close
M,1,Business,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,C,7.3,poor,Private,good,Very close
F,1,Arts,Africa,B,5.6,poor,Private,good,Very close
F,2,Medicine,Africa,B,5.2,poor,Private,good,Very close
M,2,Business,Africa,B,6.1,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Very close
F,1,Business,Africa,A,10.6,poor,Private,good,Close
F,1,Science,Africa,A,8,poor,Private,good,Very close
M,3,Law,Africa,B,0,poor,Private,good,Close
M,1,Business,Africa,C,0,poor,Private,good,Very close
M,1,Science,Africa,B,0,poor,Private,good,Close
M,2,Business,Africa,B,0,poor,Private,good,Very close
F,2,Medicine,Africa,B,5.2,poor,Private,good,Very close
M,1,Business,Africa,A,13.6,poor,Private,good,Fair
F,2,Business,Africa,B,23.8,poor,Private,good,Close
F,2,Business,Africa,B,50,poor,Private,good,Very close
M,2,Engineering,Iraq,C,21,vgood,Private,good,Very close
M,3,Engineering,Iraq,C,0,vgood,Private,vgood,Very close
M,2,Engineering,Iraq,C,0,good,Private,good,Close
M,3,Engineering,Iraq,C,7,good,Private,vgood,Very close
M,2,Engineering,Iraq,C,7,good,Private,vgood,Very close
M,2,Engineering,Iraq,C,7,vgood,Private,good,Very close
M,2,Engineering,Iraq,C,14,good,Private,good,Very close
M,2,Engineering,Iraq,B,21,vgood,Private,excellent,Fair
M,2,Engineering,Iraq,C,14,good,Non private,good,Very close
M,2,Engineering,Iraq,B,14,vgood,Private,good,Close
M,3,Engineering,Iraq,C,7,vgood,Private,good,Very close
M,2,Engineering,Iraq,C,7,vgood,Private,good,Very close
M,2,Engineering,Iraq,C,7,good,Non private,good,Very close
M,2,Engineering,Iraq,C,14,vgood,Non private,good,Close
M,2,Engineering,Iraq,C,21,vgood,Private,good,Fair
M,3,Engineering,Iraq,C,7,good,Non private,poor,Close
M,2,Engineering,Iraq,B,21,vgood,Private,good,Very close
M,2,Engineering,Iraq,C,7,poor,Private,good,Close
M,2,Engineering,Iraq,C,7,good,Private,vgood,Very close
M,3,Biology,Iraq,C,14,vgood,Private,good,Close
M,2,Biology,Iraq,C,7,vgood,Non private,good,Close
M,3,Biology,Iraq,C,0,good,Non private,good,Very close
M,2,Biology,Iraq,B,7,good,Private,vgood,Close
M,3,Biology,Iraq,C,7,vgood,Private,poor,Very close
M,2,Biology,Iraq,B,7,vgood,Private,good,Very close
M,2,Biology,Iraq,A,14,good,Private,vgood,Close
M,1,Biology,Iraq,B,21,vgood,Private,vgood,Very close
M,2,Biology,Iraq,C,7,vgood,Private,good,Close
M,2,Biology,Iraq,B,7,good,Private,vgood,Very close
M,3,Biology,Iraq,C,14,good,Non private,good,Close
M,2,Biology,Iraq,C,7,vgood,Non private,good,Close
M,2,Biology,Iraq,C,14,vgood,Private,good,Very close
M,3,Biology,Iraq,B,21,vgood,Private,vgood,Very close
M,3,Biology,Iraq,B,14,vgood,Private,vgood,Very close
M,2,Biology,Iraq,C,7,good,Private,vgood,Very close
M,2,Biology,Iraq,C,7,good,Private,vgood,Very close
F,2,Biology,Iraq,A,14,good,Private,vgood,Very close
F,1,Biology,Iraq,A,21,good,Private,good,Very close
F,2,Engineering,Iraq,C,21,vgood,Non private,vgood,Very close
F,4,Engineering,Iraq,C,7,good,Non private,good,Very close
F,2,Engineering,Iraq,C,7,poor,Private,good,Close
F,2,Engineering,Iraq,C,14,good,Non private,good,Very close
F,1,Engineering,Iraq,C,21,vgood,Private,good,Close
F,3,Engineering,Iraq,C,14,vgood,Private,good,Close
F,2,Engineering,Iraq,C,21,vgood,Private,good,Close
F,2,Engineering,Iraq,C,21,vgood,Private,vgood,Very close
F,2,Engineering,Iraq,C,14,good,Private,good,Close
F,2,Engineering,Iraq,C,21,vgood,Private,excellent,Very close
F,2,Engineering,Iraq,B,21,vgood,Private,good,Very close
F,1,Engineering,Iraq,C,14,vgood,Private,good,Close
F,2,Engineering,Iraq,C,14,vgood,Private,good,Very close
F,2,Engineering,Iraq,C,21,good,Private,vgood,Very close
F,3,Engineering,Iraq,C,14,vgood,Non private,good,Close
F,2,Engineering,Iraq,C,7,vgood,Private,good,Close
F,2,Engineering,Iraq,B,14,vgood,Private,excellent,Very close
F,2,Engineering,Iraq,C,7,good,Non private,vgood,Very close
F,2,Engineering,Iraq,A,14,vgood,Private,good,Very close
F,3,Engineering,Iraq,C,14,vgood,Private,good,Very close
F,2,Engineering,Iraq,C,14,vgood,Private,vgood,Very close
F,2,Engineering,Iraq,C,21,vgood,Non private,good,Very close
F,2,Engineering,Iraq,C,14,good,Private,good,Close
F,2,Engineering,Iraq,C,14,good,Private,vgood,Very close
F,2,Engineering,Iraq,A,14,vgood,Non private,good,Close
F,2,Engineering,Iraq,C,21,vgood,Non private,good,Close
F,3,Engineering,Iraq,C,7,vgood,Private,vgood,Very close
F,3,Engineering,Iraq,C,0,vgood,Private,good,Close
F,2,Engineering,Iraq,C,14,vgood,Non private,good,Close
F,2,Engineering,Iraq,C,14,good,Private,good,Close
F,2,Engineering,Iraq,C,21,good,Private,excellent,Very close
F,2,Engineering,Iraq,C,21,good,Non private,good,Very close
F,2,Engineering,Iraq,C,7,vgood,Private,good,Very close
F,2,Engineering,Iraq,C,0,vgood,Private,good,Very close
F,2,Engineering,Iraq,B,21,vgood,Private,vgood,Very close
F,2,Engineering,Iraq,B,21,vgood,Private,vgood,Very close
F,2,Biology,Iraq,C,21,good,Private,good,Very close
F,2,Biology,Iraq,B,21,good,Private,good,Very close
F,2,Biology,Iraq,C,21,good,Private,good,Very close
F,2,Biology,Iraq,C,7,vgood,Private,good,Very close
F,4,Biology,Iraq,C,14,good,Private,vgood,Very close
F,2,Biology,Iraq,C,7,vgood,Non private,good,Close
F,3,Biology,Iraq,C,0,vgood,Private,good,Close
F,2,Biology,Iraq,C,14,good,Private,vgood,Very close
F,2,Biology,Iraq,C,21,vgood,Private,excellent,Very close
F,2,Biology,Iraq,A,21,good,Private,good,Close
F,2,Biology,Iraq,B,21,vgood,Non private,good,Very close
F,1,Biology,Iraq,A,0,poor,Private,poor,Close
F,2,Biology,Iraq,B,21,poor,Private,good,Close
F,3,Biology,Iraq,C,7,good,Non private,good,Very close
F,2,Biology,Iraq,C,14,vgood,Non private,good,Close
F,2,Biology,Iraq,A,21,good,Private,good,Very close
F,2,Biology,Iraq,C,21,vgood,Private,good,Very close
F,2,Engineering,Iraq,B,21,vgood,Private,vgood,Very close
F,2,Biology,Iraq,A,21,vgood,Private,good,Close
F,2,Biology,Iraq,A,21,vgood,Private,good,Close
F,2,Biology,Iraq,B,14,good,Private,good,Close
F,2,Biology,Iraq,A,21,vgood,Private,good,Very close
F,2,Biology,Iraq,B,21,vgood,Non private,good,Very close
F,2,Biology,Iraq,B,14,good,Private,vgood,Very close
F,2,Biology,Iraq,C,14,good,Non private,good,Very close
F,2,Biology,Iraq,C,14,poor,Non private,good,Very close
F,2,Biology,Iraq,C,14,poor,Private,good,Very close
F,2,Biology,Iraq,A,21,vgood,Non private,vgood,Very close
F,2,Biology,Iraq,A,21,vgood,Private,good,Very close
F,2,Biology,Iraq,C,21,good,Private,good,Close
F,3,Biology,Iraq,B,21,good,Private,good,Very close
F,2,Biology,Iraq,C,14,vgood,Non private,good,Close
F,3,Biology,Iraq,A,21,good,Non private,good,Close
F,2,Biology,Iraq,C,14,good,Private,good,Very close
F,2,Biology,Iraq,C,21,good,Private,good,Very close
F,2,Biology,Iraq,C,21,vgood,Non private,good,Very close
F,2,Biology,Iraq,A,14,vgood,Private,vgood,Close
F,2,Biology,Iraq,A,21,vgood,Private,good,Very close
F,2,Biology,Iraq,B,14,good,Private,vgood,Very close
F,2,Biology,Iraq,C,0,good,Private,good,Very close
F,1,Biology,Iraq,C,14,vgood,Non private,good,Very close
F,2,Biology,Iraq,A,21,good,Private,good,Very close
F,3,Biology,Iraq,C,21,vgood,Private,good,Very close
F,2,Biology,Iraq,C,21,good,Non private,good,Very close
F,4,Biology,Iraq,B,14,good,Non private,good,Very close
F,2,Biology,Iraq,A,7,vgood,Private,good,Very close
