pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima,u_romanticnoj_vezi,ponavlja
F,2.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,B,2.0,poor,Non private,good,Very close,No,yes
F,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,yes
F,4.0,Engineering,Portugal,C,1.0,poor,Private,good,Very close,No,yes
M,4.0,Engineering,Portugal,C,1.0,poor,Private,good,Very close,Yes,yes
M,3.0,Engineering,Portugal,C,1.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,poor,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,Yes,no
F,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Close,No,no
F,3.0,Engineering,Portugal,C,1.0,poor,Non private,good,Very close,No,yes
M,4.0,Engineering,Portugal,C,2.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,1.0,poor,Non private,good,Close,No,yes
F,3.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,poor,Non private,poor,Very close,No,no
M,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,1.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,B,2.0,poor,Private,poor,Very close,Yes,no
F,4.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,A,1.0,poor,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,poor,Private,poor,Very close,No,no
M,3.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
M,2.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,C,1.0,poor,Private,good,Very close,No,no
M,2.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,yes
M,4.0,Engineering,Portugal,C,1.0,poor,Private,good,Close,No,yes
M,2.0,Engineering,Portugal,B,1.0,vgood,Private,poor,Close,No,no
M,3.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,yes
F,4.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,A,4.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,yes
F,3.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
F,4.0,Engineering,Portugal,B,3.0,poor,Private,poor,Very close,No,no
F,4.0,Engineering,Portugal,B,2.0,poor,Private,poor,Close,No,no
M,4.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,1.0,vgood,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,4.0,vgood,Private,good,Close,Yes,no
F,4.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,Yes,no
M,4.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,B,3.0,vgood,Private,poor,Very close,No,no
F,3.0,Engineering,Portugal,B,3.0,vgood,Private,poor,Close,No,no
F,4.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,C,1.0,poor,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,A,2.0,poor,Non private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,A,4.0,poor,Private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,B,2.0,vgood,Private,poor,Very close,No,no
M,3.0,Engineering,Portugal,A,2.0,vgood,Private,poor,Close,Yes,no
F,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,A,2.0,poor,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,B,2.0,poor,Non private,good,Very close,Yes,no
M,4.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
F,4.0,Engineering,Portugal,B,2.0,vgood,Private,good,Close,Yes,yes
F,3.0,Engineering,Portugal,B,3.0,poor,Private,good,Very close,Yes,no
M,4.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,B,1.0,poor,Private,good,Close,No,no
M,3.0,Engineering,Portugal,B,1.0,poor,Non private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,1.0,poor,Non private,good,Very close,No,no
F,4.0,Engineering,Portugal,A,4.0,vgood,Private,poor,Very close,No,no
F,4.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,No,no
F,4.0,Engineering,Portugal,B,2.0,poor,Private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,No,no
F,4.0,Engineering,Portugal,A,3.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,A,2.0,vgood,Non private,good,Very close,No,no
M,4.0,Engineering,Portugal,A,2.0,vgood,Private,good,Very close,Yes,no
F,3.0,Engineering,Portugal,A,3.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,A,4.0,vgood,Private,poor,Close,No,no
M,4.0,Engineering,Portugal,B,3.0,vgood,Private,good,Very close,No,no
M,3.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
F,4.0,Engineering,Portugal,B,2.0,vgood,Private,good,Very close,Yes,no
F,4.0,Engineering,Portugal,A,4.0,vgood,Private,good,Very close,No,no
M,4.0,Engineering,Portugal,A,1.0,vgood,Private,good,Fair,Yes,no
F,4.0,Engineering,Portugal,B,2.0,vgood,Non private,good,Very close,Yes,no
M,3.0,Engineering,Portugal,B,1.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,C,3.0,vgood,Private,good,Very close,No,no
F,3.0,Engineering,Portugal,A,3.0,vgood,Private,good,Very close,No,no
